Timestamp,What is your gender,Year of graduation,Title of course studied,Polytechnic/University attended,What is your highest level of education?,What best describes your current status?,How many jobs have you had since graduation including your current one?,Have you completed your NYSC?,"If you answered yes/ongoing to the previous question, what year did you (or will you) complete your NYSC?",Did you get your first full time job through your NYSC placement?,"Thinking about your first employment after graduation, what was your job level?",What is/was your job role?,"What sector/industry is your company in? (E.g. Banking, Agriculture, Telecommunication)","Still thinking about your first employment, what is/was your monthly income level?","Did you need your higher education qualification to get your first job (the actual qualification, not the subject of study)?",What was the most significant reason for deciding to take your first job?,"Thinking about your current employment, what is your job level?",What is your job role?,"What sector/industry is your company in? (E.g. Banking, Agriculture, Telecommunication)",What is your current monthly income level?,"Did you need your higher education qualification to get this job (the actual qualification, not the subject of study)?","Did you need your higher education qualification to get this job (the actual qualification, not the subject of study)?","Did you need your higher education qualification to get this job (the actual qualification, not the subject of study)?","Did you need your higher education qualification to get this job (the actual qualification, not the subject of study)?","Did you need your higher education qualification to get this job (the actual qualification, not the subject of study)?","Did you need your higher education qualification to get this job (the actual qualification, not the subject of study)?","Did you need your higher education qualification to get this job (the actual qualification, not the subject of study)?","As far as you are aware, what was most important to your current employer about your qualification?",How do you find out about your job(s)?,"Thinking about your current employment, did you work for your employer before or during your  higher education study?",Which form of transport do you use the most?,Were you able to rent an apartment or buy a car from the salary you got from your first job?,My course of study prepared me well for employment,My course of study prepared me well for further studies,Which of these skills/knowledge did your higher education prepare you for?
2/19/2018 12:32,Female,2014,Quantity Surveying,University of Lagos,Bachelor's degree,Working full time (paid employment),1,Yes,2016,No,,,,,,,Experience/Professional,Public Relations,Advertising / Marketing / Comms,"‎₦50,000 - ‎₦99,999",No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,Willingness to learn. ,"Personal contacts, including family and friends",No,Commercial Vehicles,No,Strongly Disagree,Strongly Disagree,Ability to solve complex problems
2/19/2018 12:36,Male,2015,Economics,"Obafemi Awolowo University,Ile-Ife",Bachelor's degree,Working full time (paid employment),2,Yes,2017,No,Entry level,Business Analyst,Consulting,"‎₦200,000 - ‎₦249,999",Yes: the qualification was a formal requirement,It fitted into my career plan/it was exactly the type of work I wanted,Entry level,Business Analyst,Consulting,"‎₦200,000 - ‎₦249,999",Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,No one thing was important,"Personal contacts, including family and friends",No,Commercial Vehicles,Yes: From my first job,Strongly Agree,Agree,Knowledge of the skill(s) you are studying
2/19/2018 13:14,Male,2015,Petroleum and Gas Engineering,University of Port-Harcourt,Bachelor's degree,Unemployed,0,Yes,2017,No,,,,,,,,,,,,,,,,,,,,,,,,,
2/19/2018 13:31,Female,2017,Economics,"Babcock University,Ilishan-Remo",Bachelor's degree,Youth Corper (NYSC),2,Ongoing,2018,No,Entry level,Human Resources,Ecommerce/Internet,"‎₦20,000 - ‎₦49,999",Yes: the qualification was a formal requirement,To gain and broaden my experience in order to get the type of job I really want,Entry level,Business Support,Engineering,"‎₦20,000 - ‎₦49,999",Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,IT/SIWES/Internship experience (gained as part of my course),Social media/professional networking sites,No,Commercial Vehicles,No,Agree,Agree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Written communication skills, Spoken communication skills, Knowledge of the skill(s) you are studying"
2/19/2018 14:43,Male,2016,Fisheries,Ekiti State University,Bachelor's degree,Voluntary or other unpaid work or on an internship,1,Yes,2017,No,,,,,,,Clerical and administrative,Data Entry,Healthcare,"‎₦20,000 - ‎₦49,999",Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Don't know,"Personal contacts, including family and friends",No,Commercial Vehicles,No: From my current job,Strongly Disagree,Agree,"Critical thinking skills, Ability to work with others, Written communication skills, Knowledge of the skill(s) you are studying"
2/19/2018 16:44,Male,2017,Computer Science,Covenant University Ota,Bachelor's degree,Working full time (paid employment),1,Ongoing,2018,No,,,,,,,Experience/Professional,Creatives,Technology,"‎₦50,000 - ‎₦99,999",Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Skill,Social media/professional networking sites,Yes: during my higher education study,Commercial Vehicles,No: From my current job,Disagree,Strongly Agree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Written communication skills, Spoken communication skills"
2/20/2018 0:46,Male,2016,Mechanical Engineering,"Yaba College of Technology, Yaba, Lagos State.",Ordinary National Diploma (OND),Voluntary or other unpaid work or on an internship,3,No,,No,Entry level,Public Relations,Education,"Under ‎₦20,000",No: the qualification was not required,It was the only job offer I received,Entry level,Blue-collar/Artisan,Engineering,"‎₦20,000 - ‎₦49,999",No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,"The course of study, level of study, practical/technical experience",Recruitment agency/Online job site,Yes: during my higher education study,Commercial Vehicles,No,Agree,Agree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Written communication skills, Spoken communication skills, Knowledge of the skill(s) you are studying"
2/20/2018 10:21,Male,2015,Computer Science,"University of Abuja, Gwagwalada",Bachelor's degree,Self-employed/freelance/entrepreneur,0,Yes,2016,No,,,,,,,,,,,,,,,,,,,,,,,,,
2/20/2018 10:22,Male,2015,Geophysics,"Obafemi Awolowo University,Ile-Ife",Bachelor's degree,Unemployed,0,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,
2/20/2018 11:02,Female,2015,Psychology,Covenant University Ota,Bachelor's degree,"Engaged in full-time further study, training or research",1,Yes,2016,No,,,,,,,Entry level,Teacher,Education,"‎₦20,000 - ‎₦49,999",Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,IT/SIWES/Internship experience (gained as part of my course),"Personal contacts, including family and friends",No,Keke Marwa/Napep/Tricycle,No,Agree,Agree,Ability to work with others
2/20/2018 11:20,Male,2014,Architecture,Covenant University Ota,Master's degree,Self-employed/freelance/entrepreneur,3,No,,No,Entry level,Creatives,Banking / Financial Services,"‎₦100,000 - ‎₦149,999",No: the qualification was not required,In order to earn a living/pay off debts,Entry level,Creatives,Ecommerce/Internet,"‎₦150,000 - ‎₦199,999",No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No one thing was important,Recruitment agency/Online job site,No,Walking,Yes: From my first job,Agree,Agree,"Ability to solve complex problems, Ability to work with others, Written communication skills, Knowledge of the skill(s) you are studying"
2/20/2018 12:51,Female,2017,Economics,"Bowen University, Iwo",Bachelor's degree,Youth Corper (NYSC),2,Ongoing,2018,Yes,Entry level,Teacher,Education,"Under ‎₦20,000",Don't know,To see if I would like the type of work it involved,Entry level,Researcher,Education,"‎₦20,000 - ‎₦49,999",Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,professional qualification,"University/polytechnic (e.g. Careers Service, lecturer, website)",No,Commercial Vehicles,No,Agree,Agree,"Ability to solve complex problems, Ability to work with others, Written communication skills, Spoken communication skills, Knowledge of the skill(s) you are studying"
2/20/2018 13:25,Female,2017,Electrical & Electronic Engineering,Covenant University Ota,Bachelor's degree,Youth Corper (NYSC),2,Ongoing,2018,No,Entry level,Web Developer,Engineering,"‎₦20,000 - ‎₦49,999",Yes: the qualification was a formal requirement,To see if I would like the type of work it involved,Entry level,Business Analyst,Engineering,"‎₦20,000 - ‎₦49,999",Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,IT/SIWES/Internship experience (gained as part of my course),"Personal contacts, including family and friends",No,Walking,No,Strongly Agree,Strongly Agree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Written communication skills, Spoken communication skills, Knowledge of the skill(s) you are studying"
2/20/2018 13:35,Male,2016,Philosophy,"Obafemi Awolowo University,Ile-Ife",Bachelor's degree,Working full time (paid employment),1,No,,No,,,,,,,Clerical and administrative,Operations Manager,Others,"‎₦50,000 - ‎₦99,999",Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,level of experience,"Personal contacts, including family and friends",No,Commercial Vehicles,No,Agree,Agree,"Critical thinking skills, Ability to solve complex problems"
2/20/2018 13:53,Male,2015,Civil Engineering,"Federal University of Technology, Akure",Bachelor's degree,Voluntary or other unpaid work or on an internship,0,Yes,2017,No,,,,,,,,,,,,,,,,,,,,,,,,,
2/20/2018 13:54,Male,2013,Agricultural and Bioresources Engineering,"Kwara State Polytechnic, Ilorin, Kwara State.",Higher National Diploma (HND),Self-employed/freelance/entrepreneur,0,Yes,2015,No,,,,,,,,,,,,,,,,,,,,,,,,,
2/20/2018 13:57,Female,2015,Statistics,Ekiti State University,Bachelor's degree,Working full time (paid employment),3,Yes,2016,No,Clerical and administrative,Customer Service,Advertising / Marketing / Comms,"‎₦50,000 - ‎₦99,999",Yes: the qualification was a formal requirement,It fitted into my career plan/it was exactly the type of work I wanted,Experience/Professional,Business Analyst,Advertising / Marketing / Comms,"‎₦100,000 - ‎₦149,999",Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,The level of study,Social media/professional networking sites,No,Commercial Vehicles,No,Agree,Agree,Critical thinking skills
2/20/2018 14:11,Male,2016,Hospitality and Tourism,University of Port-Harcourt,Bachelor's degree,Youth Corper (NYSC),1,Ongoing,2018,Yes,,,,,,,Entry level,Office Manager,Hospitality/Leisure,"Under ‎₦20,000",Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,The subject(s) I studied,Social media/professional networking sites,No,Walking,No,Agree,Agree,"Ability to work with others, Written communication skills, Spoken communication skills, Knowledge of the skill(s) you are studying"
2/20/2018 14:33,Male,2013,Economics,Crawford University Igbesa,Bachelor's degree,Self-employed/freelance/entrepreneur,0,Yes,2014,No,,,,,,,,,,,,,,,,,,,,,,,,,
2/20/2018 14:38,Male,2015,Mathematics,"Federal University of Technology, Minna.",Bachelor's degree,Unemployed,0,Yes,2017,No,,,,,,,,,,,,,,,,,,,,,,,,,
2/20/2018 14:43,Male,2013,Chemical Engineering,"Lagos State University Ojo, Lagos.",Bachelor's degree,Self-employed/freelance/entrepreneur,1,Yes,2015,No,,,,,,,Entry level,Teacher,Education,"Under ‎₦20,000",Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,The level of study,"Personal contacts, including family and friends",Yes: during my higher education study,Commercial Vehicles,No,Strongly Agree,Strongly Agree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Written communication skills, Spoken communication skills"
2/20/2018 14:45,Male,2016,Computer Science,"Federal University of Technology, Minna.",Bachelor's degree,Youth Corper (NYSC),2,No,2018,No,Entry level,Graphic Designer,Consulting,"‎₦50,000 - ‎₦99,999",Yes: while the qualification was not a formal requirement it did give me an advantage,In order to earn a living/pay off debts,Entry level,Graphic Designer,Consulting,"‎₦50,000 - ‎₦99,999",Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Don't know,Recruitment agency/Online job site,Yes: during my higher education study,Commercial Vehicles,No,Agree,Agree,"Critical thinking skills, Ability to work with others, Written communication skills, Spoken communication skills, Knowledge of the skill(s) you are studying"
2/20/2018 14:59,Male,2015,Geology,University of Ibadan,Bachelor's degree,Working full time (paid employment),1,Yes,2017,No,,,,,,,Entry level,Back-End Developer,Consulting,"‎₦100,000 - ‎₦149,999",No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,IT/SIWES/Internship experience (gained as part of my course),"Personal contacts, including family and friends",No,Commercial Vehicles,No,Strongly Disagree,Strongly Disagree,Ability to work with others
2/20/2018 15:54,Female,2017,Mass Communication (Communication and Language Arts),"Heritage Polytechnic, Ikot Udota, Eket, Akwa Ibom State",Higher National Diploma (HND),Self-employed/freelance/entrepreneur,0,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,
2/20/2018 16:08,Female,2017,Microbiology,University of Port-Harcourt,Bachelor's degree,Unemployed,0,No,2019,No,,,,,,,,,,,,,,,,,,,,,,,,,
2/20/2018 16:25,Male,2016,Electrical & Electronic Engineering,"Federal University, Oye-Ekiti, Ekiti State",Bachelor's degree,Unemployed,0,Yes,2017,No,,,,,,,,,,,,,,,,,,,,,,,,,
2/20/2018 17:11,Female,2015,Computer Engineering,University of Benin,Bachelor's degree,Voluntary or other unpaid work or on an internship,10,Yes,2017,No,Clerical and administrative,IT Support,Government / Defence,"Under ‎₦20,000",Yes: while the qualification was not a formal requirement it did give me an advantage,It was an opportunity to progress in the organisation,Clerical and administrative,IT Support,Government / Defence,"Under ‎₦20,000",Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,IT/SIWES/Internship experience (gained as part of my course),Internship,No,Keke Marwa/Napep/Tricycle,No,Agree,Agree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Knowledge of the skill(s) you are studying"
2/20/2018 17:15,Male,2015,Philosophy,"University of Nigeria, Nsukka",Bachelor's degree,Self-employed/freelance/entrepreneur,0,Yes,2017,No,,,,,,,,,,,,,,,,,,,,,,,,,
2/20/2018 17:16,Male,2013,Computer Science,Rivers State University of Science & Technology,Bachelor's degree,Unemployed,0,Yes,2015,No,,,,,,,,,,,,,,,,,,,,,,,,,
2/20/2018 17:17,Female,2015,Forest Resources Management (Forestry),University of Ibadan,Bachelor's degree,Unemployed,0,Yes,2017,No,,,,,,,,,,,,,,,,,,,,,,,,,
2/20/2018 17:23,Male,2015,Civil Engineering,"Ambrose Alli University, Ekpoma,",Bachelor's degree,Self-employed/freelance/entrepreneur,0,Yes,2016,No,,,,,,,,,,,,,,,,,,,,,,,,,
2/20/2018 17:26,Male,2016,Biochemistry,University of Lagos,Bachelor's degree,Youth Corper (NYSC),1,No,,No,,,,,,,Entry level,"Doctor, Nursing And Other Medical Related Roles",Healthcare,"‎₦20,000 - ‎₦49,999",Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Don't know,"Personal contacts, including family and friends",No,Commercial Vehicles,No,Strongly Agree,Strongly Agree,"Ability to solve complex problems, Ability to work with others, Spoken communication skills, Knowledge of the skill(s) you are studying"
2/20/2018 17:26,Male,2013,Biochemistry,"Ladoke Akintola University of Technology, Ogbomoso",Bachelor's degree,Self-employed/freelance/entrepreneur,2,Yes,2015,No,Entry level,Creatives,Media,"‎₦20,000 - ‎₦49,999",Yes: while the qualification was not a formal requirement it did give me an advantage,It fitted into my career plan/it was exactly the type of work I wanted,Entry level,Creatives,Media,"‎₦20,000 - ‎₦49,999",Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,My ability to learn quick and be resourceful,Social media/professional networking sites,No,Commercial Vehicles,No,Agree,Agree,Ability to solve complex problems
2/20/2018 17:28,Male,2016,Building,University of Lagos,Bachelor's degree,Youth Corper (NYSC),1,Ongoing,2018,Yes,,,,,,,Entry level,Project Co-Ordinator,Construction / Real Estate,"‎₦50,000 - ‎₦99,999",No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,The subject(s) I studied,"Personal contacts, including family and friends",No,Commercial Vehicles,No: From my current job,Agree,Agree,Knowledge of the skill(s) you are studying
